Dimension,Number Points,Assignment Error,Normalized Error,Iterations,Stopping Criterion,Step Size,Gradient Norm
50,100,5.4136514033181795,0.10827302806636357,5000,Terminated - max iterations reached after 92.13 seconds.,2.900971253012832e-05,2.365974105182025e-06
50,200,0.4675985444560159,0.009351970889120317,722,"Terminated - min step_size reached after 722 iterations, 27.83 seconds.",-0.0,1.3046926303532444e-08
50,400,6.567614163467744,0.13135228326935486,114,"Terminated - min step_size reached after 114 iterations, 9.28 seconds.",9.432769679626643e-13,0.00022804088123313336
50,800,0.1258713408284089,0.0025174268165681774,117,"Terminated - min step_size reached after 117 iterations, 19.02 seconds.",-0.0,4.239775322163137e-10
50,1600,0.061766849014726025,0.0012353369802945203,60,"Terminated - min step_size reached after 60 iterations, 19.79 seconds.",-0.0,2.632031048479619e-10
50,3200,0.030676880175894813,0.0006135376035178962,53,"Terminated - min step_size reached after 53 iterations, 34.51 seconds.",-0.0,2.677649806612321e-10
50,6400,0.015057276262996152,0.000301145525259923,79,"Terminated - min step_size reached after 79 iterations, 100.05 seconds.",-0.0,4.999552407801555e-10
