Dimension,Number Points,Assignment Error,Normalized Error,Iterations,Stopping Criterion,Step Size,Gradient Norm
25,100,0.18127593346246493,0.007251037338498597,69,"Terminated - min step_size reached after 69 iterations, 1.21 seconds.",4.8179332117948e-13,0.00011476769885766478
25,200,0.1655742276829823,0.006622969107319292,204,"Terminated - min step_size reached after 204 iterations, 7.76 seconds.",-0.0,1.6365321503651703e-09
25,400,0.05805304315485817,0.002322121726194327,66,"Terminated - min step_size reached after 66 iterations, 5.34 seconds.",-0.0,2.9620822435863973e-10
25,800,0.02841318464307346,0.0011365273857229384,44,"Terminated - min step_size reached after 44 iterations, 7.25 seconds.",-0.0,5.368604593661517e-10
25,1600,0.01351734657938851,0.0005406938631755405,35,"Terminated - min step_size reached after 35 iterations, 11.72 seconds.",-0.0,4.843857231247509e-10
25,3200,0.008495981422807846,0.00033983925691231383,28,"Terminated - min step_size reached after 28 iterations, 18.74 seconds.",-0.0,1.029557690750413e-09
25,6400,0.0040189116622354045,0.00016075646648941618,24,"Terminated - min step_size reached after 24 iterations, 31.61 seconds.",-0.0,4.964212942428247e-10
