Dimension,Number Points,Assignment Error,Normalized Error,Iterations,Stopping Criterion,Step Size,Gradient Norm
100,100,42.49761912198711,0.42497619121987107,512,"Terminated - min step_size reached after 512 iterations, 10.88 seconds.",8.090517484454126e-13,0.0001490180100494803
100,200,10.501377321183998,0.10501377321183998,447,"Terminated - min step_size reached after 447 iterations, 19.59 seconds.",6.761369852782015e-13,8.210045070736272e-05
100,400,21.009510965677293,0.21009510965677294,69,"Terminated - min step_size reached after 69 iterations, 6.40 seconds.",6.108853550146398e-13,0.00020445749639445344
100,800,26.722148386860958,0.26722148386860956,146,"Terminated - min step_size reached after 146 iterations, 27.44 seconds.",2.913730195889305e-13,4.762893910834044e-05
100,1600,3.2177866838721814,0.032177866838721814,2629,Terminated - max time reached after 2629 iterations.,9.362152698259388e-06,6.067912607519248e-08
100,3200,39.32116032988951,0.3932116032988951,56,"Terminated - min step_size reached after 56 iterations, 41.31 seconds.",9.200233500572686e-13,9.804709928848975e-05
100,6400,40.20271497410488,0.4020271497410488,361,"Terminated - min step_size reached after 361 iterations, 468.25 seconds.",-0.0,9.282452024608664e-06
