Dimension,Number Points,Assignment Error,Normalized Error,Iterations,Stopping Criterion,Step Size,Gradient Norm
75,100,7.517545285788192,0.10023393714384254,985,"Terminated - min grad norm reached after 985 iterations, 17.85 seconds.",0.005243636729521697,9.90155418925346e-07
75,200,2.0400772142246937,0.027201029522995912,243,"Terminated - min grad norm reached after 243 iterations, 8.26 seconds.",0.0021855202629247534,9.928129730425435e-07
75,400,0.5638175330640725,0.0075175671075209645,34,"Terminated - min grad norm reached after 34 iterations, 2.62 seconds.",0.0049304998023234625,9.530139337299833e-07
75,800,0.24704886381580307,0.0032939848508773736,15,"Terminated - min grad norm reached after 15 iterations, 2.68 seconds.",0.00796130599886433,9.109445351402085e-07
75,1600,0.14070275672613308,0.0018760367563484407,8,"Terminated - min grad norm reached after 8 iterations, 2.74 seconds.",0.006789716044824036,9.920214107320355e-07
75,3200,0.06976909115821302,0.0009302545487761734,8,"Terminated - min grad norm reached after 8 iterations, 4.96 seconds.",0.003427393932947523,4.1773551745942064e-07
75,6400,0.0350749736386418,0.0004676663151818906,6,"Terminated - min grad norm reached after 6 iterations, 7.18 seconds.",0.0025700945589485083,2.2967213943114636e-07
