data_type,n_points,dimension,iteration,cost,error,normalized_error
gaussian,32000,15,1,0.13470956870965609,4.630868606343304,0.30872457375622026
gaussian,32000,15,2,0.05846561471374541,1.7355971886707275,0.11570647924471515
gaussian,32000,15,3,0.054859569967799705,1.3240818055090944,0.08827212036727294
gaussian,32000,15,4,0.042300403417873514,0.8785620271781411,0.05857080181187607
gaussian,32000,15,5,0.025429514493132858,0.14837491169943212,0.00989166077996214
gaussian,32000,15,6,0.023916808921919604,0.07610422735516212,0.005073615157010807
gaussian,32000,15,7,0.020880788120107206,0.0032211156922507425,0.00021474104615004948
gaussian,32000,15,8,0.02080559354096124,0.00039922560306400695,2.6615040204267126e-05
gaussian,32000,15,9,0.020803232794104388,0.00030936633898353844,2.062442259890256e-05
gaussian,32000,15,10,0.02080265830018101,0.00028812845924938984,1.920856394995932e-05
gaussian,32000,15,11,0.020802485401498927,0.0002813162156377622,1.8754414375850812e-05
gaussian,32000,15,12,0.020802456777193227,0.0002804339559128329,1.8695597060855525e-05
gaussian,32000,15,13,0.020802454451138225,0.00028024785990279753,1.86831906601865e-05
gaussian,32000,15,14,0.020802454322397024,0.000280312229636238,1.8687481975749197e-05
gaussian,32000,15,15,0.020802454141683777,0.00028025372128570185,1.868358141904679e-05
gaussian,32000,15,16,0.020802454125115902,0.0002802768973739829,1.8685126491598857e-05
gaussian,32000,15,17,0.020802454124311514,0.000280264678574287,1.8684311904952464e-05
gaussian,32000,15,18,0.020802454124046705,0.0002802740497574862,1.868493665049908e-05
gaussian,32000,15,19,0.020802454123840446,0.00028026867175660593,1.868457811710706e-05
gaussian,32000,15,20,0.02080245412383014,0.00028027020326884197,1.8684680217922796e-05
gaussian,32000,15,21,0.020802454123829802,0.00028026973658146405,1.8684649105430934e-05
gaussian,32000,15,22,0.020802454123829747,0.0002802700122726906,1.868466748484604e-05
gaussian,32000,15,23,0.0208024541238297,0.0002802698731828468,1.8684658212189786e-05
gaussian,32000,15,24,0.0208024541238297,0.00028026991876451025,1.868466125096735e-05
