data_type,n_points,dimension,iteration,cost,error,normalized_error
gaussian,16000,15,1,0.117093843435269,4.140411995186134,0.2760274663457422
gaussian,16000,15,2,0.05063875093844938,1.3742046295996866,0.09161364197331243
gaussian,16000,15,3,0.02407605369201246,0.1258173900970297,0.008387826006468644
gaussian,16000,15,4,0.02082299698149823,0.0024326352762040595,0.00016217568508027061
gaussian,16000,15,5,0.02077666460687047,0.0006103654388172253,4.069102925448168e-05
gaussian,16000,15,6,0.020776516877619926,0.0006191439994904586,4.1276266632697233e-05
gaussian,16000,15,7,0.02077626693889923,0.000602444471975271,4.016296479835139e-05
gaussian,16000,15,8,0.02077626600231357,0.0006053416530579789,4.035611020386526e-05
gaussian,16000,15,9,0.020776262748961445,0.0006048520497662962,4.032346998441974e-05
gaussian,16000,15,10,0.020776260679189022,0.0006030132222027467,4.0200881480183104e-05
gaussian,16000,15,11,0.020776258916385446,0.0006037764194253216,4.025176129502143e-05
gaussian,16000,15,12,0.02077625887802467,0.0006036349092046063,4.024232728030708e-05
gaussian,16000,15,13,0.02077625887428269,0.0006036752557551266,4.024501705034177e-05
gaussian,16000,15,14,0.02077625887409949,0.0006036662101128153,4.024441400752101e-05
gaussian,16000,15,15,0.020776258874090986,0.000603668239450167,4.0244549296677794e-05
gaussian,16000,15,16,0.02077625887409073,0.0006036675268738028,4.024450179158685e-05
gaussian,16000,15,17,0.02077625887409046,0.0006036679683817452,4.024453122544968e-05
gaussian,16000,15,18,0.02077625887409042,0.0006036677325744525,4.0244515504963494e-05
gaussian,16000,15,19,0.020776258874090403,0.0006036679042360367,4.024452694906911e-05
gaussian,16000,15,20,0.020776258874090382,0.0006036678099104357,4.0244520660695706e-05
gaussian,16000,15,21,0.020776258874090382,0.0006036678501313822,4.024452334209214e-05
