data_type,n_points,dimension,iteration,cost,error,normalized_error
exponential,4000,15,1,15.07892289333545,4.38372506876128,0.29224833791741867
exponential,4000,15,2,14.078012162994288,1.7595122396339324,0.11730081597559548
exponential,4000,15,3,13.678318498722774,1.165010496972842,0.07766736646485613
exponential,4000,15,4,13.55658371608605,0.914635944365574,0.060975729624371595
exponential,4000,15,5,13.502301525746805,0.9567866251394566,0.0637857750092971
exponential,4000,15,6,13.499274668684258,1.0063568891100172,0.06709045927400113
exponential,4000,15,7,13.492696169610616,1.0184377725206375,0.06789585150137582
exponential,4000,15,8,13.483455001305586,0.98100075040955,0.06540005002730333
exponential,4000,15,9,13.474884519731082,0.981694824793634,0.06544632165290892
exponential,4000,15,10,13.462074451195637,0.9588224440113247,0.06392149626742163
exponential,4000,15,11,13.455089974379922,1.0368727335145338,0.06912484890096891
exponential,4000,15,12,13.451749459822775,1.019114604716808,0.0679409736477872
exponential,4000,15,13,13.451723882183298,1.0195694312901078,0.06797129541934051
exponential,4000,15,14,13.451711228226007,1.019802397464577,0.06798682649763846
exponential,4000,15,15,13.451708073327099,1.019861361181429,0.06799075741209525
exponential,4000,15,16,13.451706498035655,1.019890936927018,0.06799272912846785
exponential,4000,15,17,13.45170571093075,1.0199057484424199,0.06799371656282799
exponential,4000,15,18,13.451705686334252,1.0199062116624917,0.06799374744416611
exponential,4000,15,19,13.45170568018516,1.0199063274703557,0.06799375516469038
exponential,4000,15,20,13.451705677110622,1.019906385374656,0.06799375902497705
exponential,4000,15,21,13.451705675573354,1.019906414326899,0.06799376095512659
exponential,4000,15,22,13.451705675525314,1.0199064152316588,0.06799376101544391
exponential,4000,15,23,13.451705675513306,1.0199064154578494,0.06799376103052329
exponential,4000,15,24,13.451705675511805,1.019906415486119,0.06799376103240792
exponential,4000,15,25,13.451705675511429,1.019906415493187,0.06799376103287912
exponential,4000,15,26,13.451705675511239,1.0199064154967332,0.06799376103311554
exponential,4000,15,27,13.451705675511144,1.0199064154985227,0.06799376103323483
exponential,4000,15,28,13.4517056755111,1.0199064154994093,0.06799376103329395
