data_type,n_points,dimension,iteration,cost,error,normalized_error
student_t,5000,100,1,0.997319721557107,139.6550667514579,1.396550667514579
student_t,5000,100,2,0.9132931000385699,135.64395144772766,1.3564395144772765
student_t,5000,100,3,0.7969293972756557,117.85717984577235,1.1785717984577235
student_t,5000,100,4,0.6911302125202021,85.77463353232893,0.8577463353232894
student_t,5000,100,5,0.6301996117431662,77.05206001833272,0.7705206001833272
student_t,5000,100,6,0.5933080057415733,61.547544771559124,0.6154754477155913
student_t,5000,100,7,0.5746899159094041,58.86878411294603,0.5886878411294603
student_t,5000,100,8,0.5729361043324386,57.36560350877771,0.5736560350877771
student_t,5000,100,9,0.5660634885647635,57.03486909088517,0.5703486909088517
student_t,5000,100,10,0.5534805913430058,56.1666984414259,0.561666984414259
student_t,5000,100,11,0.5508762857234946,55.056508125796185,0.5505650812579619
student_t,5000,100,12,0.5500091917658951,54.177959847380365,0.5417795984738036
student_t,5000,100,13,0.546929413754805,53.95561971600585,0.5395561971600585
student_t,5000,100,14,0.5446618380647528,53.083803076906385,0.5308380307690639
student_t,5000,100,15,0.5432688541819561,52.433155827966964,0.5243315582796696
student_t,5000,100,16,0.5405650917258179,52.09017468973708,0.5209017468973708
student_t,5000,100,17,0.5318626734520772,48.675394658348154,0.48675394658348153
student_t,5000,100,18,0.5301234004010936,47.92510608467298,0.4792510608467298
student_t,5000,100,19,0.5276385629864352,47.5160100529295,0.475160100529295
student_t,5000,100,20,0.5273146014412616,46.656873801326256,0.46656873801326254
student_t,5000,100,21,0.5261728894886815,46.586854518088735,0.46586854518088733
student_t,5000,100,22,0.524438924690861,46.269518780411765,0.46269518780411767
student_t,5000,100,23,0.5235355496015767,45.89861339460252,0.4589861339460252
student_t,5000,100,24,0.5226964937179188,45.37704740493303,0.4537704740493303
student_t,5000,100,25,0.5219591905611354,45.16968480911501,0.4516968480911501
student_t,5000,100,26,0.5199199168155597,44.07131879586359,0.4407131879586359
student_t,5000,100,27,0.518637709196313,43.888182785030885,0.4388818278503088
student_t,5000,100,28,0.5185488730288634,43.47830843379557,0.4347830843379557
student_t,5000,100,29,0.518168566956382,43.46108325818103,0.43461083258181027
student_t,5000,100,30,0.5173193228302555,43.37711160950308,0.43377111609503083
student_t,5000,100,31,0.5162805992221813,42.778175789134565,0.42778175789134565
student_t,5000,100,32,0.5152976740289507,42.618292207133706,0.42618292207133707
student_t,5000,100,33,0.514572860721822,41.93847610846241,0.4193847610846241
student_t,5000,100,34,0.5133832275185198,41.7637293822114,0.417637293822114
student_t,5000,100,35,0.5130201876745931,41.541821404637,0.41541821404636997
student_t,5000,100,36,0.5123892474830879,41.26095464133531,0.4126095464133531
student_t,5000,100,37,0.5117096105435126,41.10672560129595,0.4110672560129595
student_t,5000,100,38,0.5111077937157952,40.89431481391585,0.4089431481391585
student_t,5000,100,39,0.5107056721938069,40.612771862568806,0.4061277186256881
student_t,5000,100,40,0.5102720067835169,40.41616586720635,0.40416165867206355
student_t,5000,100,41,0.5098930255254066,40.28623209576836,0.4028623209576836
student_t,5000,100,42,0.5083333533693297,39.48196893531767,0.3948196893531767
student_t,5000,100,43,0.5061699557259128,38.15847937822382,0.38158479378223814
student_t,5000,100,44,0.5057215022499961,37.764124821681186,0.3776412482168119
student_t,5000,100,45,0.5046537643394008,37.676662038865,0.37676662038864994
student_t,5000,100,46,0.5044720862098634,36.96951319393978,0.36969513193939785
student_t,5000,100,47,0.5038761993199414,36.93160032402792,0.3693160032402792
student_t,5000,100,48,0.5035078489173215,36.78670566891911,0.3678670566891911
student_t,5000,100,49,0.5031103619407504,36.67657404709969,0.3667657404709969
student_t,5000,100,50,0.5028390631133367,36.57545081614476,0.3657545081614476
student_t,5000,100,51,0.5025176242469482,36.076467010121235,0.3607646701012123
student_t,5000,100,52,0.5022322289760863,35.979124677703865,0.35979124677703866
student_t,5000,100,53,0.5019547983068763,35.86166294419921,0.35861662944199213
student_t,5000,100,54,0.5016520195036385,35.75507329370593,0.35755073293705925
student_t,5000,100,55,0.5013177128462437,35.586782908563585,0.35586782908563586
student_t,5000,100,56,0.5011602518981458,35.39390266122622,0.35393902661226223
student_t,5000,100,57,0.5008639797069397,35.31420582141385,0.3531420582141385
student_t,5000,100,58,0.49948884598414217,34.62385469969104,0.34623854699691037
student_t,5000,100,59,0.49900686048704535,34.47587155009445,0.34475871550094456
student_t,5000,100,60,0.4987111073756322,34.2873560509181,0.342873560509181
student_t,5000,100,61,0.49825508219214687,34.17309249239911,0.34173092492399104
student_t,5000,100,62,0.497928466799582,34.00665271309844,0.3400665271309844
student_t,5000,100,63,0.49769033943815516,33.87963269127192,0.3387963269127192
student_t,5000,100,64,0.4972854200229357,33.81329481698002,0.33813294816980016
student_t,5000,100,65,0.49588923155966846,33.1837194472306,0.33183719447230603
student_t,5000,100,66,0.49521654690872363,32.96988772740978,0.32969887727409775
student_t,5000,100,67,0.4946746716966487,32.76787052422436,0.3276787052422436
student_t,5000,100,68,0.49420117917278694,32.649407769106794,0.3264940776910679
student_t,5000,100,69,0.4939500390770421,32.427250112857706,0.3242725011285771
student_t,5000,100,70,0.493573581612503,32.39336376525081,0.3239336376525081
student_t,5000,100,71,0.4932996980961584,32.179025282670445,0.3217902528267044
student_t,5000,100,72,0.49254266637313704,32.10487685041046,0.32104876850410463
student_t,5000,100,73,0.4923656602124553,31.93069600178876,0.3193069600178876
student_t,5000,100,74,0.49182112109940296,31.890218776309553,0.31890218776309553
student_t,5000,100,75,0.49165801596817776,31.817312487955583,0.31817312487955585
student_t,5000,100,76,0.49129002495618385,31.681319265713494,0.3168131926571349
student_t,5000,100,77,0.49037348887749654,31.334569716287266,0.31334569716287264
student_t,5000,100,78,0.49022930821672267,30.98617959129006,0.3098617959129006
student_t,5000,100,79,0.4897137060394098,30.966235666293937,0.30966235666293934
student_t,5000,100,80,0.48902333980583185,30.894800652631833,0.3089480065263183
student_t,5000,100,81,0.48851798662650653,30.73979152747941,0.3073979152747941
student_t,5000,100,82,0.48832999758151646,30.689758162351684,0.3068975816235168
student_t,5000,100,83,0.4880737998269057,30.594317391755418,0.30594317391755416
student_t,5000,100,84,0.48797396711430485,30.559488724163806,0.3055948872416381
student_t,5000,100,85,0.48797044496876535,30.4890088636652,0.304890088636652
student_t,5000,100,86,0.48795657091436,30.48838027655667,0.3048838027655667
student_t,5000,100,87,0.48790465547734335,30.485858254365244,0.30485858254365245
student_t,5000,100,88,0.48776167308693436,30.475489782433748,0.30475489782433746
student_t,5000,100,89,0.4875770689831498,30.429826389421766,0.30429826389421766
student_t,5000,100,90,0.48727791469779436,30.36321025895452,0.3036321025895452
student_t,5000,100,91,0.48713201361103087,30.140235282525488,0.3014023528252549
student_t,5000,100,92,0.48667834700129775,30.10772810919774,0.3010772810919774
student_t,5000,100,93,0.48618774969258616,29.983271002475703,0.29983271002475703
student_t,5000,100,94,0.4859802384206585,29.769698257377975,0.29769698257377974
student_t,5000,100,95,0.48560693936755855,29.718705840952733,0.2971870584095273
student_t,5000,100,96,0.4846736149496793,29.262472941993078,0.2926247294199308
student_t,5000,100,97,0.48433441973791735,29.230168607316678,0.29230168607316676
student_t,5000,100,98,0.4842332695913287,29.212380706922325,0.29212380706922325
student_t,5000,100,99,0.4841619387196656,29.200466075294727,0.2920046607529473
student_t,5000,100,100,0.4841266448864463,29.162021220956102,0.291620212209561
student_t,5000,100,101,0.4840178819914451,29.15955053280205,0.29159550532802053
student_t,5000,100,102,0.4840001061392448,29.153475628534526,0.29153475628534525
student_t,5000,100,103,0.48394870559215336,29.14690777847216,0.2914690777847216
student_t,5000,100,104,0.48390797499604743,29.138759575498575,0.29138759575498574
student_t,5000,100,105,0.48387292809193927,29.134257513629155,0.2913425751362915
student_t,5000,100,106,0.48379675842177666,29.083545694254703,0.29083545694254703
student_t,5000,100,107,0.4837768031489268,29.056759685465877,0.29056759685465877
student_t,5000,100,108,0.483673883459637,29.040080366425343,0.2904008036642534
student_t,5000,100,109,0.4836223059644797,29.015670495689033,0.29015670495689033
student_t,5000,100,110,0.4835330054141404,28.999295146180867,0.28999295146180865
student_t,5000,100,111,0.48346310344443977,28.983387164406945,0.28983387164406943
student_t,5000,100,112,0.48344878637781963,28.966534930940806,0.28966534930940807
student_t,5000,100,113,0.4834157686620246,28.9648937343837,0.289648937343837
student_t,5000,100,114,0.4834008249051885,28.95381001375498,0.28953810013754977
student_t,5000,100,115,0.48336917746456926,28.953593888176428,0.28953593888176427
student_t,5000,100,116,0.4833436833741557,28.952382957343787,0.28952382957343786
student_t,5000,100,117,0.4833061397874763,28.949991592306585,0.28949991592306584
student_t,5000,100,118,0.4832641012814334,28.94865036484016,0.28948650364840156
student_t,5000,100,119,0.4832615830542729,28.947820281096273,0.28947820281096276
student_t,5000,100,120,0.48325985105944724,28.94737870884074,0.28947378708840743
student_t,5000,100,121,0.48325899544074646,28.94706454720824,0.2894706454720824
student_t,5000,100,122,0.48325894200075203,28.94704462636455,0.2894704462636455
student_t,5000,100,123,0.48325893866089265,28.94704338034061,0.2894704338034061
student_t,5000,100,124,0.48325893824341243,28.94704322458025,0.2894704322458025
student_t,5000,100,125,0.48325893823036614,28.94704321971271,0.2894704321971271
student_t,5000,100,126,0.48325893822873545,28.947043219104263,0.2894704321910426
student_t,5000,100,127,0.4832589382279201,28.947043218800054,0.28947043218800056
student_t,5000,100,128,0.48325893822751237,28.947043218647956,0.28947043218647955
student_t,5000,100,129,0.48325893822730853,28.947043218571896,0.28947043218571894
student_t,5000,100,130,0.4832589382272576,28.947043218552885,0.28947043218552887
student_t,5000,100,131,0.48325893822723204,28.947043218543378,0.2894704321854338
student_t,5000,100,132,0.48325893822721927,28.947043218538617,0.28947043218538615
student_t,5000,100,133,0.4832589382272189,28.947043218538465,0.28947043218538465
student_t,5000,100,134,0.48325893822721877,28.947043218538425,0.28947043218538426
student_t,5000,100,135,0.48325893822721877,28.94704321853842,0.2894704321853842
