data_type,n_points,dimension,iteration,cost,error,normalized_error
gaussian,8000,15,1,0.10672079413471329,3.6119094799227063,0.2407939653281804
gaussian,8000,15,2,0.045417433997381046,1.113099731129656,0.07420664874197706
gaussian,8000,15,3,0.02515029505693297,0.17580697993065378,0.011720465328710251
gaussian,8000,15,4,0.02094060769048918,0.01066840875808768,0.0007112272505391786
gaussian,8000,15,5,0.02083357326480566,0.007797145100541716,0.0005198096733694476
gaussian,8000,15,6,0.020660641104877683,0.0012613888091231715,8.409258727487808e-05
gaussian,8000,15,7,0.020659006065946492,0.0011777883270969918,7.851922180646611e-05
gaussian,8000,15,8,0.020655009432274166,0.0010608937835042355,7.07262522336157e-05
gaussian,8000,15,9,0.020654798310025948,0.0010548548117591187,7.032365411727457e-05
gaussian,8000,15,10,0.020654792789371882,0.0010526937963299388,7.017958642199592e-05
gaussian,8000,15,11,0.02065479263520129,0.0010531064331166023,7.020709554110682e-05
gaussian,8000,15,12,0.020654792633448965,0.001053040595782019,7.020270638546793e-05
gaussian,8000,15,13,0.020654792633348133,0.0010530646491612914,7.020430994408608e-05
gaussian,8000,15,14,0.02065479263330854,0.0010530539487489197,7.02035965832613e-05
gaussian,8000,15,15,0.020654792633306752,0.0010530565764609522,7.020377176406347e-05
gaussian,8000,15,16,0.020654792633306638,0.001053055676231331,7.020371174875538e-05
gaussian,8000,15,17,0.020654792633306617,0.0010530561713839104,7.020374475892736e-05
gaussian,8000,15,18,0.020654792633306607,0.0010530558768786843,7.020372512524561e-05
gaussian,8000,15,19,0.020654792633306607,0.0010530560301055068,7.020373534036711e-05
