data_type,n_points,dimension,iteration,cost,error,normalized_error
exponential,32000,15,1,14.956755796275303,4.043216196741222,0.26954774644941476
exponential,32000,15,2,14.000737046158655,1.289854296869512,0.08599028645796745
exponential,32000,15,3,13.828438531780698,0.6783464775547257,0.04522309850364837
exponential,32000,15,4,13.644977732337624,0.1368855058738457,0.009125700391589713
exponential,32000,15,5,13.641347573917615,0.17297222527000491,0.011531481684666993
exponential,32000,15,6,13.631230637410376,0.12930354274946082,0.008620236183297388
exponential,32000,15,7,13.631124893555084,0.1269601375923866,0.008464009172825773
exponential,32000,15,8,13.630759014067626,0.12645085373926251,0.008430056915950833
exponential,32000,15,9,13.629890386904115,0.12571922724371107,0.008381281816247404
exponential,32000,15,10,13.62980710905755,0.12648683037994893,0.00843245535866326
exponential,32000,15,11,13.62971687730773,0.1264025986937346,0.008426839912915639
exponential,32000,15,12,13.629710464466651,0.1267771998160247,0.008451813321068312
exponential,32000,15,13,13.62968614012722,0.12671953129034244,0.008447968752689494
exponential,32000,15,14,13.629596221722291,0.1265337650590134,0.008435584337267559
exponential,32000,15,15,13.62957263588791,0.12648227539613588,0.008432151693075724
exponential,32000,15,16,13.629572269163237,0.1264807778354108,0.008432051855694053
exponential,32000,15,17,13.629572223351119,0.12648059031410752,0.008432039354273833
exponential,32000,15,18,13.62957221189987,0.1264805434252175,0.008432036228347832
exponential,32000,15,19,13.62957221046849,0.1264805375637828,0.00843203583758552
exponential,32000,15,20,13.629572209752808,0.1264805346330531,0.008432035642203538
exponential,32000,15,21,13.62957220957389,0.12648053390036967,0.008432035593357977
exponential,32000,15,22,13.62957220952916,0.12648053371720047,0.008432035581146698
exponential,32000,15,23,13.629572209506794,0.126480533625614,0.008432035575040932
exponential,32000,15,24,13.629572209501204,0.12648053360271647,0.00843203557351443
exponential,32000,15,25,13.629572209500502,0.12648053359985498,0.008432035573323664
exponential,32000,15,26,13.629572209500154,0.1264805335984183,0.008432035573227884
exponential,32000,15,27,13.62957220949998,0.12648053359770545,0.008432035573180362
exponential,32000,15,28,13.629572209499957,0.12648053359761632,0.00843203557317442
