data_type,n_points,dimension,iteration,cost,error,normalized_error
gaussian,5000,12,1,0.09924188983155316,2.396906503126217,0.19974220859385144
gaussian,5000,12,2,0.04005448446317753,0.5523124032847593,0.04602603360706328
gaussian,5000,12,3,0.036107700956409694,0.37423514283874815,0.031186261903229016
gaussian,5000,12,4,0.025432862756442593,0.07995384286989464,0.006662820239157888
gaussian,5000,12,5,0.025343779727977682,0.06908238807953773,0.005756865673294812
gaussian,5000,12,6,0.024998317925733256,0.059817007664735494,0.004984750638727959
gaussian,5000,12,7,0.02382308446012175,0.028521757016495383,0.0023768130847079487
gaussian,5000,12,8,0.02274169820590413,0.0013672462096305218,0.00011393718413587684
gaussian,5000,12,9,0.02273826525258112,0.0010408547957525894,8.673789964604912e-05
gaussian,5000,12,10,0.022727759369169265,0.0008374922240953211,6.97910186746101e-05
gaussian,5000,12,11,0.022724287421444285,0.0008295580687414132,6.912983906178444e-05
gaussian,5000,12,12,0.02272423783434216,0.0007916616783992671,6.597180653327227e-05
gaussian,5000,12,13,0.022724062339802672,0.0007916049018288152,6.596707515240127e-05
gaussian,5000,12,14,0.022723843135370604,0.0008056330314712231,6.713608595593527e-05
gaussian,5000,12,15,0.022723816195914816,0.0007981791588297127,6.651492990247607e-05
gaussian,5000,12,16,0.022723808491533277,0.0008007237143349318,6.672697619457766e-05
gaussian,5000,12,17,0.022723806772034772,0.0008000259792377485,6.666883160314571e-05
gaussian,5000,12,18,0.022723806750517692,0.0008000030814988822,6.666692345824019e-05
gaussian,5000,12,19,0.022723806749825805,0.000800024219495107,6.666868495792559e-05
gaussian,5000,12,20,0.02272380674969382,0.000800009253268755,6.666743777239626e-05
gaussian,5000,12,21,0.022723806749642778,0.000800020264644966,6.666835538708051e-05
gaussian,5000,12,22,0.022723806749625326,0.0008000123002970194,6.666769169141828e-05
gaussian,5000,12,23,0.02272380674961326,0.0008000168917979143,6.666807431649287e-05
gaussian,5000,12,24,0.02272380674961203,0.0008000154147411419,6.66679512284285e-05
gaussian,5000,12,25,0.02272380674961201,0.0008000158803354402,6.666799002795337e-05
gaussian,5000,12,26,0.022723806749612,0.0008000155196483192,6.666795997069327e-05
gaussian,5000,12,27,0.02272380674961199,0.000800015759777095,6.66679799814246e-05
gaussian,5000,12,28,0.022723806749611986,0.0008000156298516916,6.666796915430765e-05
gaussian,5000,12,29,0.022723806749611986,0.0008000157025737191,6.66679752144766e-05
