data_type,n_points,dimension,iteration,cost,error,normalized_error
gaussian,5000,25,1,0.18135309715927025,10.853601195682343,0.4341440478272937
gaussian,5000,25,2,0.08608187735612474,5.817040747579013,0.23268162990316055
gaussian,5000,25,3,0.06596112410957494,3.752188614840444,0.15008754459361776
gaussian,5000,25,4,0.025662063919657852,0.8096800871850345,0.03238720348740138
gaussian,5000,25,5,0.017865137517684183,0.07737560027827468,0.0030950240111309872
gaussian,5000,25,6,0.01675977994412478,0.022588833242521592,0.0009035533297008637
gaussian,5000,25,7,0.016490631794080543,0.00868857537371883,0.00034754301494875324
gaussian,5000,25,8,0.016418816605196743,0.005279749070885209,0.00021118996283540838
gaussian,5000,25,9,0.016408476424394542,0.004656622635881124,0.00018626490543524496
gaussian,5000,25,10,0.016406914298778764,0.0045291285372043655,0.00018116514148817462
gaussian,5000,25,11,0.016406731775323768,0.004516790930821875,0.000180671637232875
gaussian,5000,25,12,0.016406662774392816,0.004515624655510705,0.0001806249862204282
gaussian,5000,25,13,0.016406661144406944,0.004508998171942159,0.00018035992687768634
gaussian,5000,25,14,0.01640665798703703,0.00451326856017075,0.00018053074240683
gaussian,5000,25,15,0.01640665797121924,0.0045119734773764,0.000180478939095056
gaussian,5000,25,16,0.01640665795756635,0.004512606602755199,0.00018050426411020794
gaussian,5000,25,17,0.01640665795721334,0.0045125175993082816,0.00018050070397233127
gaussian,5000,25,18,0.01640665795720981,0.0045125425480303715,0.00018050170192121485
gaussian,5000,25,19,0.016406657957201573,0.004512533136217568,0.0001805013254487027
gaussian,5000,25,20,0.01640665795720134,0.004512531013487837,0.00018050124053951348
gaussian,5000,25,21,0.01640665795720134,0.004512531288532811,0.00018050125154131242
