data_type,n_points,dimension,iteration,cost,error,normalized_error
gaussian,5000,75,1,0.6610957723890246,86.45030529926038,1.1526707373234715
gaussian,5000,75,2,0.5484293456348932,75.15358064889466,1.002047741985262
gaussian,5000,75,3,0.22091318334965745,40.66422206999204,0.5421896275998938
gaussian,5000,75,4,0.18126775122834002,33.620176474714775,0.4482690196628636
gaussian,5000,75,5,0.0696499539644335,16.697264825497985,0.22263019767330644
gaussian,5000,75,6,0.062037370174713106,12.59000210309915,0.16786669470798865
gaussian,5000,75,7,0.037291427879141414,8.323075123982132,0.1109743349864284
gaussian,5000,75,8,0.031965580159733054,3.5762565740190007,0.04768342098692
gaussian,5000,75,9,0.016283922648418304,1.7748660857214609,0.023664881142952808
gaussian,5000,75,10,0.013432177368202304,0.8273693540306553,0.011031591387075402
gaussian,5000,75,11,0.012744036303121653,0.5178597187771221,0.006904796250361627
gaussian,5000,75,12,0.010733067288303583,0.31823205745333527,0.004243094099377803
gaussian,5000,75,13,0.010194843985742871,0.15734318881520484,0.002097909184202731
gaussian,5000,75,14,0.010049335590442987,0.09613299103277062,0.0012817732137702746
gaussian,5000,75,15,0.0098368615286248,0.06394346480165716,0.000852579530688762
gaussian,5000,75,16,0.009817938935751858,0.06310058200549168,0.0008413410934065556
gaussian,5000,75,17,0.009780894353748978,0.048604578514556886,0.0006480610468607583
gaussian,5000,75,18,0.009775681009192346,0.04481138056856638,0.0005974850742475516
gaussian,5000,75,19,0.009774582567847495,0.04460920985984998,0.0005947894647979996
gaussian,5000,75,20,0.009774532641332006,0.04475670752248598,0.0005967561002998129
gaussian,5000,75,21,0.009774353553181417,0.044697607464889516,0.0005959680995318601
gaussian,5000,75,22,0.009774034505441028,0.04454441843450087,0.0005939255791266782
gaussian,5000,75,23,0.009774030473538697,0.04455398892622808,0.000594053185683041
gaussian,5000,75,24,0.00977403027301358,0.04455408973131823,0.0005940545297509097
gaussian,5000,75,25,0.009774030264037031,0.04455407646230748,0.0005940543528307663
gaussian,5000,75,26,0.009774030255423822,0.044554119896311827,0.0005940549319508242
gaussian,5000,75,27,0.009774030255286545,0.044553996810816614,0.000594053290810888
gaussian,5000,75,28,0.009774030254839269,0.044554009143147826,0.0005940534552419708
gaussian,5000,75,29,0.00977403025462014,0.044554038352074644,0.0005940538446943285
gaussian,5000,75,30,0.009774030254541736,0.04455401655070721,0.0005940535540094294
gaussian,5000,75,31,0.009774030254532147,0.04455401822666576,0.0005940535763555434
gaussian,5000,75,32,0.00977403025453056,0.04455400835804237,0.0005940534447738981
gaussian,5000,75,33,0.00977403025453033,0.044554009979421515,0.0005940534663922868
gaussian,5000,75,34,0.009774030254529727,0.04455400890191487,0.0005940534520255315
gaussian,5000,75,35,0.009774030254529652,0.04455400817968238,0.000594053442395765
gaussian,5000,75,36,0.00977403025452964,0.04455400726088206,0.000594053430145094
gaussian,5000,75,37,0.009774030254529635,0.04455400712940774,0.0005940534283921031
