data_type,n_points,dimension,iteration,cost,error,normalized_error
exponential,8000,15,1,14.89040656443168,3.684225691019408,0.2456150460679605
exponential,8000,15,2,13.93933658676262,1.2174810382287842,0.0811654025485856
exponential,8000,15,3,13.68110880994429,0.8956366403635955,0.05970910935757302
exponential,8000,15,4,13.614168298075038,0.5210220617245094,0.03473480411496729
exponential,8000,15,5,13.505825261655605,0.3895852356491525,0.02597234904327683
exponential,8000,15,6,13.492236221946136,0.375913977403142,0.025060931826876128
exponential,8000,15,7,13.49171803568468,0.39301091452834047,0.026200727635222694
exponential,8000,15,8,13.490983880631891,0.3914475479908437,0.026096503199389578
exponential,8000,15,9,13.490962815252463,0.3915706405678785,0.026104709371191897
exponential,8000,15,10,13.490922523662661,0.39224414434072,0.026149609622714665
exponential,8000,15,11,13.490917800001977,0.39222150729154076,0.026148100486102714
exponential,8000,15,12,13.490917652736995,0.39222077477561207,0.026148051651707468
exponential,8000,15,13,13.490917643534303,0.3922207289373736,0.026148048595824903
exponential,8000,15,14,13.4909176389333,0.39222070601708564,0.026148047067805706
exponential,8000,15,15,13.490917637783072,0.39222070028682643,0.026148046685788427
exponential,8000,15,16,13.490917637639294,0.392220699570538,0.026148046638035865
exponential,8000,15,17,13.490917637567403,0.39222069921239316,0.02614804661415954
exponential,8000,15,18,13.490917637531458,0.39222069903331597,0.026148046602221062
exponential,8000,15,19,13.490917637513487,0.3922206989437797,0.026148046596251976
exponential,8000,15,20,13.4909176375045,0.3922206988990136,0.02614804659326757
exponential,8000,15,21,13.490917637503378,0.3922206988934172,0.026148046592894478
exponential,8000,15,22,13.490917637503099,0.39222069889201894,0.02614804659280126
exponential,8000,15,23,13.490917637502957,0.39222069889132427,0.026148046592754947
exponential,8000,15,24,13.490917637502887,0.3922206988909702,0.026148046592731344
exponential,8000,15,25,13.490917637502852,0.3922206988907978,0.02614804659271985
exponential,8000,15,26,13.490917637502845,0.3922206988907534,0.02614804659271689
exponential,8000,15,27,13.490917637502836,0.39222069889071814,0.02614804659271454
