data_type,n_points,dimension,iteration,cost,error,normalized_error
gaussian,5000,50,1,0.41608239315940737,41.91416663395974,0.8382833326791946
gaussian,5000,50,2,0.2855438661042557,32.32105778497166,0.646421155699433
gaussian,5000,50,3,0.042639556466883236,7.134144779504533,0.14268289559009065
gaussian,5000,50,4,0.028685136178311015,2.8380514390723124,0.05676102878144624
gaussian,5000,50,5,0.025580329582908838,1.548336711912417,0.030966734238248333
gaussian,5000,50,6,0.016353441343842368,0.8171363287452547,0.01634272657490509
gaussian,5000,50,7,0.013128487973031025,0.2820420076139233,0.005640840152278465
gaussian,5000,50,8,0.012620486997284588,0.09810860843944258,0.0019621721687888513
gaussian,5000,50,9,0.011877860981236799,0.03458494530046297,0.0006916989060092594
gaussian,5000,50,10,0.011809042225020546,0.021334705618604576,0.0004266941123720915
gaussian,5000,50,11,0.011801229944027583,0.01933283724700216,0.00038665674494004317
gaussian,5000,50,12,0.01180103372720932,0.01935319749715449,0.00038706394994308973
gaussian,5000,50,13,0.01180102929127647,0.019327888497109702,0.000386557769942194
gaussian,5000,50,14,0.01180101484416611,0.019331783335852004,0.00038663566671704
gaussian,5000,50,15,0.01180100840962535,0.01934740952221242,0.00038694819044424834
gaussian,5000,50,16,0.011801005471923247,0.019342253359732896,0.00038684506719465785
gaussian,5000,50,17,0.01180100544604909,0.019342381030544552,0.00038684762061089097
gaussian,5000,50,18,0.01180100543767703,0.01934266147193833,0.00038685322943876653
gaussian,5000,50,19,0.011801005435843632,0.019342520811403887,0.00038685041622807766
gaussian,5000,50,20,0.011801005435656375,0.019342637778827658,0.0003868527555765531
gaussian,5000,50,21,0.011801005435616125,0.019342565884376783,0.0003868513176875356
gaussian,5000,50,22,0.011801005435584176,0.019342620740905064,0.00038685241481810123
gaussian,5000,50,23,0.011801005435580814,0.019342605974423704,0.000386852119488474
gaussian,5000,50,24,0.011801005435579992,0.019342613903516718,0.0003868522780703343
gaussian,5000,50,25,0.011801005435579931,0.019342608916488112,0.0003868521783297622
gaussian,5000,50,26,0.01180100543557975,0.019342610947899526,0.00038685221895799044
gaussian,5000,50,27,0.011801005435579697,0.01934261394658691,0.00038685227893173814
gaussian,5000,50,28,0.011801005435579687,0.019342612972762657,0.0003868522594552531
