data_type,n_points,dimension,iteration,cost,error,normalized_error
exponential,16000,15,1,14.663540557131336,3.1822986407416303,0.21215324271610866
exponential,16000,15,2,13.81495379330304,0.90871331518405,0.06058088767893666
exponential,16000,15,3,13.69671015637766,0.8403904981111987,0.05602603320741324
exponential,16000,15,4,13.562277318945727,0.3500732653706782,0.023338217691378543
exponential,16000,15,5,13.509150809012375,0.29393709868634843,0.019595806579089894
exponential,16000,15,6,13.503241829554716,0.2640217192631399,0.017601447950875992
exponential,16000,15,7,13.497278471938923,0.270440511121437,0.018029367408095798
exponential,16000,15,8,13.49645818702713,0.27547170913300567,0.018364780608867044
exponential,16000,15,9,13.496434970693707,0.27891147753486084,0.018594098502324054
exponential,16000,15,10,13.496356896715644,0.27852908300809515,0.018568605533873007
exponential,16000,15,11,13.496148844573574,0.2774857067081821,0.018499047113878807
exponential,16000,15,12,13.496028615977009,0.27690081101613495,0.01846005406774233
exponential,16000,15,13,13.495974307070737,0.2783169994876331,0.01855446663250887
exponential,16000,15,14,13.495944443626389,0.27731210277286145,0.018487473518190762
exponential,16000,15,15,13.495908599487684,0.27655782813921237,0.018437188542614155
exponential,16000,15,16,13.495898401397813,0.2784467923039256,0.018563119486928372
exponential,16000,15,17,13.495881770381509,0.277248219424053,0.018483214628270198
exponential,16000,15,18,13.495865046597842,0.27746961086438016,0.018497974057625342
exponential,16000,15,19,13.495849303880364,0.2772660136425489,0.018484400909503255
exponential,16000,15,20,13.495849138574258,0.27714136831862674,0.018476091221241782
exponential,16000,15,21,13.495849136994014,0.2771819919485977,0.018478799463239846
exponential,16000,15,22,13.495849131185526,0.2771787278970424,0.018478581859802824
exponential,16000,15,23,13.49584911781383,0.2771644459848639,0.01847762973232426
exponential,16000,15,24,13.495849117530623,0.27716119738052164,0.01847741315870144
exponential,16000,15,25,13.495849117497746,0.2771620527279108,0.018477470181860717
exponential,16000,15,26,13.495849117497611,0.27716195926279996,0.01847746395085333
exponential,16000,15,27,13.495849117497594,0.27716201422962133,0.018477467615308087
exponential,16000,15,28,13.495849117497583,0.2771619748017434,0.018477464986782894
exponential,16000,15,29,13.495849117497574,0.27716199385860063,0.01847746625724004
exponential,16000,15,30,13.495849117497572,0.27716198427430033,0.018477465618286688
exponential,16000,15,31,13.495849117497572,0.2771619934117326,0.018477466227448835
