data_type,n_points,dimension,iteration,cost,error,normalized_error
student_t,5000,25,1,17.45723149876986,9.994338819316924,0.39977355277267695
student_t,5000,25,2,15.884407612621965,5.641324497289171,0.22565297989156682
student_t,5000,25,3,15.073235261359804,2.648545760678597,0.10594183042714388
student_t,5000,25,4,14.94960598797228,1.7737182844463644,0.07094873137785457
student_t,5000,25,5,14.616075227853692,1.2651668784203234,0.05060667513681293
student_t,5000,25,6,14.551981762430966,1.1811268727448676,0.0472450749097947
student_t,5000,25,7,14.550566230076788,1.1149253621280335,0.04459701448512134
student_t,5000,25,8,14.545489589690256,1.1104572344628234,0.044418289378512936
student_t,5000,25,9,14.531386250864283,1.1136497908773675,0.0445459916350947
student_t,5000,25,10,14.529252629657183,1.1180613539087658,0.044722454156350636
student_t,5000,25,11,14.528262545818059,1.1065291685133134,0.044261166740532536
student_t,5000,25,12,14.52765446403038,1.107957510342965,0.044318300413718606
student_t,5000,25,13,14.527577715941709,1.107951692176989,0.044318067687079556
student_t,5000,25,14,14.527577416227057,1.1079505852714293,0.04431802341085717
student_t,5000,25,15,14.527577266390377,1.1079500317291961,0.044318001269167843
student_t,5000,25,16,14.5275771914772,1.1079497549357673,0.04431799019743069
student_t,5000,25,17,14.527577154021904,1.107949616533481,0.04431798466133924
student_t,5000,25,18,14.527577151680953,1.107949607883046,0.044317984315321836
student_t,5000,25,19,14.52757715051048,1.1079496035578233,0.04431798414231294
student_t,5000,25,20,14.527577149925241,1.107949601395212,0.044317984055808474
student_t,5000,25,21,14.527577149778931,1.1079496008545568,0.04431798403418227
student_t,5000,25,22,14.527577149760646,1.107949600786975,0.044317984031479
student_t,5000,25,23,14.527577149751501,1.1079496007531895,0.04431798403012758
student_t,5000,25,24,14.527577149746929,1.1079496007362937,0.044317984029451744
student_t,5000,25,25,14.52757714974464,1.1079496007278453,0.04431798402911381
student_t,5000,25,26,14.527577149743497,1.107949600723618,0.04431798402894472
student_t,5000,25,27,14.527577149742925,1.1079496007215044,0.044317984028860176
student_t,5000,25,28,14.527577149742854,1.1079496007212402,0.04431798402884961
