method,data_type,dimension,sample_size,noise_level,trial,frame_error,runtime,success,initialization,gradient_norm,iterations,step_size,stopping_criterion
deflation_varimax_random,gaussian_rotated,15,1000,0.05,7,0.9045791492738332,0.037985801696777344,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,15,1000,0.05,8,0.9074967439989107,0.04101276397705078,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,15,1000,0.05,9,0.9308396387071379,0.037904977798461914,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,25,1000,0.05,0,1.1228324324669423,0.061630964279174805,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,25,1000,0.05,1,1.1608068325892746,0.06682610511779785,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,25,1000,0.05,2,1.1277402704882877,0.06131267547607422,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,25,1000,0.05,3,1.0961015862364447,0.063262939453125,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,25,1000,0.05,4,1.140254500961733,0.06291985511779785,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,25,1000,0.05,5,1.1411668808577315,0.06126713752746582,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,25,1000,0.05,6,1.0965713548173734,0.06200098991394043,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,25,1000,0.05,7,1.1035149306598504,0.060771942138671875,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,25,1000,0.05,8,1.1054040566213776,0.06353306770324707,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,25,1000,0.05,9,1.1440012388360616,0.06444787979125977,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,50,1000,0.05,0,1.3137215747826083,0.08653092384338379,True,random,,,,Deflation algorithm (non-pymanopt)
